Country,Region,Subregion,Indicator,Dimension,Category,Year
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2014
Burundi,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Bermuda,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2014
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2014
Botswana,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2014
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Cabo Verde,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2014
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2014
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
Guinea-Bissau,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Indonesia,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2014
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2014
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2014
Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2014
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2014
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2014
Lebanon,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2014
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2014
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2014
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2014
Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Madagascar,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Maldives,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2014
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2014
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2014
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2014
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2014
Oman,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2014
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2014
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2014
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2014
Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2014
Türkiye,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2014
United Republic of Tanzania,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Uganda,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2014
Holy See,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2014
South Africa,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2014
Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2015
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2015
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2015
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2015
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2015
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Bermuda,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2015
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2015
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2015
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Cabo Verde,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2015
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2015
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2015
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
Guinea-Bissau,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Indonesia,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2015
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2015
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Lebanon,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2015
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2015
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2015
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2015
Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
Madagascar,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
Maldives,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2015
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2015
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2015
Oman,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2015
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2015
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2015
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2015
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2015
Senegal,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2015
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Timor-Leste,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2015
Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
United Republic of Tanzania,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2015
Holy See,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2015
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2015
South Africa,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2015
Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2016
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2016
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2016
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2016
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2016
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2016
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2016
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2016
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2016
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Cabo Verde,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2016
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2016
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2016
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2016
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2016
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2016
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2016
Guinea-Bissau,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2016
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2016
Indonesia,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2016
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2016
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2016
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2016
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2016
"China, Macao Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2016
Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Maldives,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2016
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Malta,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Myanmar,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2016
Nepal,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2016
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2016
Oman,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2016
Pakistan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2016
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Puerto Rico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2016
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2016
Saudi Arabia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2016
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2016
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Timor-Leste,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2016
Uganda,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2016
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Uzbekistan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2016
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2016
Kosovo under UNSCR 1244,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2016
South Africa,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2016
Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2017
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2017
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2017
Argentina,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2017
Antigua and Barbuda,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Australia,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2017
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2017
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2017
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2017
Benin,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2017
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2017
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2017
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2017
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Bermuda,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2017
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Bhutan,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2017
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2017
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2017
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Cameroon,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2017
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Cabo Verde,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2017
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2017
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2017
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2017
Dominica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Ecuador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2017
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2017
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2017
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2017
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2017
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2017
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2017
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2017
Honduras,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2017
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2017
Indonesia,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2017
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2017
Iraq (Central Iraq),Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2017
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2017
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2017
Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2017
