Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Kazakhstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Kenya,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Kyrgyzstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Monaco,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Republic of Moldova,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Mauritius,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Malaysia,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Norway,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Nepal,Asia,Southern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Russian Federation,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
United States of America,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2005,Judiciary
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Australia,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Azerbaijan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Burkina Faso,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Bahamas,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Belarus,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Bermuda,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Dominican Republic,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Algeria,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Egypt,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
United Kingdom (Scotland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Israel,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Kazakhstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Kenya,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Kyrgyzstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Morocco,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Monaco,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Republic of Moldova,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
North Macedonia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Mauritius,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Malaysia,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Norway,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Nepal,Asia,Southern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
State of Palestine,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Russian Federation,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Thailand,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
United States of America,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2006,Judiciary
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Australia,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Azerbaijan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Burkina Faso,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Bahamas,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Dominican Republic,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Algeria,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
United Kingdom (Scotland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Georgia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Israel,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Kazakhstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Kenya,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Kyrgyzstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Monaco,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Republic of Moldova,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Mauritius,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Norway,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Russian Federation,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
United States of America,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2007,Judiciary
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Andorra,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Armenia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Australia,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Austria,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Azerbaijan,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Burkina Faso,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Bulgaria,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Bahamas,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Switzerland,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Chile,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Costa Rica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Cyprus,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Czechia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Germany,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Denmark,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Dominican Republic,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Algeria,Africa,Northern Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Finland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
France,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
United Kingdom (Scotland),Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Georgia,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Greece,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Guatemala,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Croatia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Iceland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Israel,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Italy,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Japan,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Kazakhstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Kenya,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Kyrgyzstan,Asia,Central Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Saint Kitts and Nevis,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Republic of Korea,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Lithuania,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
"China, Macao Special Administrative Region",Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Monaco,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Republic of Moldova,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Malta,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Mauritius,Africa,Sub-Saharan Africa,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Nicaragua,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Norway,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
New Zealand,Oceania,Australia and New Zealand,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Panama,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Philippines,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Portugal,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Romania,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Russian Federation,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Singapore,Asia,South-eastern Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Serbia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Slovakia,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Sweden,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Türkiye,Asia,Western Asia,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Ukraine,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
United States of America,Americas,Northern America,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Professional Judges or Magistrate,2008,Judiciary
